Type,Name,Date Added,Modified History,Description
Theme,GEN_HOLIDAY,2014-10-01 00:00:00,2014-10-01 00:00:00,General discussion of holidays
Theme,GENDER_VIOLENCE,2013-11-04 00:00:00,2013-11-04 00:00:00,Gender violence
Theme,GENERAL_GOVERNMENT,2013-10-13 00:00:00,2013-10-13 00:00:00,"General discussion of government, congress, parliament, republic, regime, etc"
Theme,GENERAL_HEALTH,2013-10-13 00:00:00,2013-10-13 00:00:00,"Any general discussion of human, animal, plant, etc health, from hygiene to hospitals, doctors to disease"
Theme,GENTRIFICATION,2014-05-19 00:00:00,2014-05-19 00:00:00,Gentrification
Theme,GOV_DISSOLVEGOV,2014-10-01 00:00:00,2014-10-01 00:00:00,Dissolving government
Theme,GOV_DIVISIONOFPOWER,2014-10-01 00:00:00,2014-10-01 00:00:00,Division of power in government
Theme,GOV_INTERGOVERNMENTAL,2014-10-01 00:00:00,2014-10-01 00:00:00,Intergovernmental activities or proposals
Theme,GOV_REFORM,2014-10-01 00:00:00,2014-10-01 00:00:00,Government reform
Theme,GOV_REPATRIATION,2014-10-01 00:00:00,2014-10-01 00:00:00,Repatriation
Theme,GRIEVANCES,2014-02-20 00:00:00,2014-02-20 00:00:00,"Mention of the term ""grievances"" as explicit discussion of societal unhappiness."
Theme,HARASSMENT,2013-12-20 00:00:00,2013-12-20 00:00:00,"Explicit mention of the word ""harassment"""
Theme,HATE_SPEECH,2013-12-20 00:00:00,2013-12-20 00:00:00,"Explicit mention of the phrase ""hate speech"""
Theme,HEALTH_PANDEMIC,2013-10-13 00:00:00,2013-10-13 00:00:00,Explicit mention in the text of a pandemic or public health emergency
Theme,HEALTH_SEXTRANSDISEASE,2013-10-13 00:00:00,2013-10-13 00:00:00,Mention of sexually transmitted diseases
Theme,HEALTH_VACCINATION,2013-10-13 00:00:00,2013-10-13 00:00:00,"Mentions of vaccination, immunization"
Theme,HUMAN_TRAFFICKING,2013-10-13 00:00:00,2013-10-13 00:00:00,"Human trafficking, sexual slavery, prostitution, human smuggling, etc"
